parameter_id,group,subgroup,parameter,type,unit_range,rate_hz,validity_tier,what_it_measures,principal_confound,status
face.AU07_asym,A Facial action units,A4 Asymmetry,Lid tightener — asymmetry,Derived,0.0-1.0 (|L-R|),30,Weak inference,Left-right imbalance. Spontaneous expressions are more symmetric than posed ones as a population tendency,"Facial nerve variation, unilateral habit, camera angle. Never a per-person verdict",Implemented
face.AU09,A Facial action units,A2 Mid face / periocular,Nose wrinkler,Raw,0.0-1.0 activation,30,Measured,"Disgust component; rare, so high-signal when present","Nose itch, allergies, spectacle bridge pressure",Implemented
face.AU09_L,A Facial action units,A2 Mid face / periocular,Nose wrinkler — left side,Raw,0.0-1.0,30,Measured,"Left-hemiface activation, measured independently","Nose itch, allergies, spectacle bridge pressure",Implemented
face.AU09_R,A Facial action units,A2 Mid face / periocular,Nose wrinkler — right side,Raw,0.0-1.0,30,Measured,"Right-hemiface activation, measured independently","Nose itch, allergies, spectacle bridge pressure",Implemented
face.AU09_asym,A Facial action units,A4 Asymmetry,Nose wrinkler — asymmetry,Derived,0.0-1.0 (|L-R|),30,Weak inference,Left-right imbalance. Spontaneous expressions are more symmetric than posed ones as a population tendency,"Facial nerve variation, unilateral habit, camera angle. Never a per-person verdict",Implemented
face.AU45,A Facial action units,A2 Mid face / periocular,Blink,Raw,0.0-1.0 activation,30,Measured,Blink. Rate and interval track cognitive load,"Contact lenses, dry air, screen exposure, air conditioning",Implemented
face.AU45_L,A Facial action units,A2 Mid face / periocular,Blink — left side,Raw,0.0-1.0,30,Measured,"Left-hemiface activation, measured independently","Contact lenses, dry air, screen exposure, air conditioning",Implemented
face.AU45_R,A Facial action units,A2 Mid face / periocular,Blink — right side,Raw,0.0-1.0,30,Measured,"Right-hemiface activation, measured independently","Contact lenses, dry air, screen exposure, air conditioning",Implemented
face.AU45_asym,A Facial action units,A4 Asymmetry,Blink — asymmetry,Derived,0.0-1.0 (|L-R|),30,Weak inference,Left-right imbalance. Spontaneous expressions are more symmetric than posed ones as a population tendency,"Facial nerve variation, unilateral habit, camera angle. Never a per-person verdict",Implemented
face.AU10,A Facial action units,A3 Lower face,Upper lip raiser,Raw,0.0-1.0 activation,30,Measured,Contempt or disgust component; also speech articulation,Fires on ordinary phoneme production,Implemented
face.AU12,A Facial action units,A3 Lower face,Lip corner puller (smile),Raw,0.0-1.0 activation,30,Measured,Smile. The single most-reported AU and the most over-read,Polite/social smiling is near-continuous in some cultures,Implemented
face.AU12_L,A Facial action units,A3 Lower face,Lip corner puller (smile) — left side,Raw,0.0-1.0,30,Measured,"Left-hemiface activation, measured independently",Polite/social smiling is near-continuous in some cultures,Implemented
face.AU12_R,A Facial action units,A3 Lower face,Lip corner puller (smile) — right side,Raw,0.0-1.0,30,Measured,"Right-hemiface activation, measured independently",Polite/social smiling is near-continuous in some cultures,Implemented
face.AU12_asym,A Facial action units,A4 Asymmetry,Lip corner puller (smile) — asymmetry,Derived,0.0-1.0 (|L-R|),30,Weak inference,Left-right imbalance. Spontaneous expressions are more symmetric than posed ones as a population tendency,"Facial nerve variation, unilateral habit, camera angle. Never a per-person verdict",Implemented
face.AU14,A Facial action units,A3 Lower face,Dimpler,Raw,0.0-1.0 activation,30,Measured,"Contempt, scepticism, or wry acknowledgement",Very low base rate; noisy estimator,Implemented
face.AU14_L,A Facial action units,A3 Lower face,Dimpler — left side,Raw,0.0-1.0,30,Measured,"Left-hemiface activation, measured independently",Very low base rate; noisy estimator,Implemented
face.AU14_R,A Facial action units,A3 Lower face,Dimpler — right side,Raw,0.0-1.0,30,Measured,"Right-hemiface activation, measured independently",Very low base rate; noisy estimator,Implemented
face.AU14_asym,A Facial action units,A4 Asymmetry,Dimpler — asymmetry,Derived,0.0-1.0 (|L-R|),30,Weak inference,Left-right imbalance. Spontaneous expressions are more symmetric than posed ones as a population tendency,"Facial nerve variation, unilateral habit, camera angle. Never a per-person verdict",Implemented
face.AU15,A Facial action units,A3 Lower face,Lip corner depressor,Raw,0.0-1.0 activation,30,Measured,Sadness or disappointment component,Resting face anatomy; some faces sit here at neutral,Implemented
face.AU15_L,A Facial action units,A3 Lower face,Lip corner depressor — left side,Raw,0.0-1.0,30,Measured,"Left-hemiface activation, measured independently",Resting face anatomy; some faces sit here at neutral,Implemented
face.AU15_R,A Facial action units,A3 Lower face,Lip corner depressor — right side,Raw,0.0-1.0,30,Measured,"Right-hemiface activation, measured independently",Resting face anatomy; some faces sit here at neutral,Implemented
face.AU15_asym,A Facial action units,A4 Asymmetry,Lip corner depressor — asymmetry,Derived,0.0-1.0 (|L-R|),30,Weak inference,Left-right imbalance. Spontaneous expressions are more symmetric than posed ones as a population tendency,"Facial nerve variation, unilateral habit, camera angle. Never a per-person verdict",Implemented
face.AU16,A Facial action units,A3 Lower face,Lower lip depressor,Raw,0.0-1.0 activation,30,Measured,"Speech articulation, occasionally disgust",Almost entirely speech-driven,Implemented
face.AU16_L,A Facial action units,A3 Lower face,Lower lip depressor — left side,Raw,0.0-1.0,30,Measured,"Left-hemiface activation, measured independently",Almost entirely speech-driven,Implemented
face.AU16_R,A Facial action units,A3 Lower face,Lower lip depressor — right side,Raw,0.0-1.0,30,Measured,"Right-hemiface activation, measured independently",Almost entirely speech-driven,Implemented
face.AU16_asym,A Facial action units,A4 Asymmetry,Lower lip depressor — asymmetry,Derived,0.0-1.0 (|L-R|),30,Weak inference,Left-right imbalance. Spontaneous expressions are more symmetric than posed ones as a population tendency,"Facial nerve variation, unilateral habit, camera angle. Never a per-person verdict",Implemented
face.AU17,A Facial action units,A3 Lower face,Chin raiser,Raw,0.0-1.0 activation,30,Measured,"Doubt, suppressed disagreement, chin tension",Overlaps heavily with speech,Implemented
face.AU18,A Facial action units,A3 Lower face,Lip pucker,Raw,0.0-1.0 activation,30,Measured,"Uncertainty, thinking, word-searching",Speech articulation,Implemented
face.AU20,A Facial action units,A3 Lower face,Lip stretcher,Raw,0.0-1.0 activation,30,Measured,Fear component; also tension and effortful speech,Speech articulation,Implemented
face.AU20_L,A Facial action units,A3 Lower face,Lip stretcher — left side,Raw,0.0-1.0,30,Measured,"Left-hemiface activation, measured independently",Speech articulation,Implemented
face.AU20_R,A Facial action units,A3 Lower face,Lip stretcher — right side,Raw,0.0-1.0,30,Measured,"Right-hemiface activation, measured independently",Speech articulation,Implemented
face.AU20_asym,A Facial action units,A4 Asymmetry,Lip stretcher — asymmetry,Derived,0.0-1.0 (|L-R|),30,Weak inference,Left-right imbalance. Spontaneous expressions are more symmetric than posed ones as a population tendency,"Facial nerve variation, unilateral habit, camera angle. Never a per-person verdict",Implemented
face.AU22,A Facial action units,A3 Lower face,Lip funneler,Raw,0.0-1.0 activation,30,Measured,Speech articulation (rounded vowels),Essentially a speech artefact in an interview,Implemented
face.AU24,A Facial action units,A3 Lower face,Lip pressor,Raw,0.0-1.0 activation,30,Measured,"Lip press: suppression, restraint, holding back a response",Also just keeping the mouth closed while listening,Implemented
face.AU24_L,A Facial action units,A3 Lower face,Lip pressor — left side,Raw,0.0-1.0,30,Measured,"Left-hemiface activation, measured independently",Also just keeping the mouth closed while listening,Implemented
face.AU24_R,A Facial action units,A3 Lower face,Lip pressor — right side,Raw,0.0-1.0,30,Measured,"Right-hemiface activation, measured independently",Also just keeping the mouth closed while listening,Implemented
face.AU24_asym,A Facial action units,A4 Asymmetry,Lip pressor — asymmetry,Derived,0.0-1.0 (|L-R|),30,Weak inference,Left-right imbalance. Spontaneous expressions are more symmetric than posed ones as a population tendency,"Facial nerve variation, unilateral habit, camera angle. Never a per-person verdict",Implemented
face.AU25,A Facial action units,A3 Lower face,Lips part,Raw,0.0-1.0 activation,30,Measured,"Lips parted: speaking, or open-mouth attentiveness",Tracks speech almost perfectly; use as a speech proxy,Implemented
face.AU26,A Facial action units,A3 Lower face,Jaw drop,Raw,0.0-1.0 activation,30,Measured,"Jaw drop: speech volume, surprise, yawning",Speech-driven,Implemented
face.AU28,A Facial action units,A3 Lower face,Lip suck,Raw,0.0-1.0 activation,30,Measured,"Lip suck: hesitation, self-editing, dry mouth",Dry mouth is a common interview physiological effect,Implemented
face.AU28_L,A Facial action units,A3 Lower face,Lip suck — left side,Raw,0.0-1.0,30,Measured,"Left-hemiface activation, measured independently",Dry mouth is a common interview physiological effect,Implemented
face.AU28_R,A Facial action units,A3 Lower face,Lip suck — right side,Raw,0.0-1.0,30,Measured,"Right-hemiface activation, measured independently",Dry mouth is a common interview physiological effect,Implemented
face.AU28_asym,A Facial action units,A4 Asymmetry,Lip suck — asymmetry,Derived,0.0-1.0 (|L-R|),30,Weak inference,Left-right imbalance. Spontaneous expressions are more symmetric than posed ones as a population tendency,"Facial nerve variation, unilateral habit, camera angle. Never a per-person verdict",Implemented
face.AU29,A Facial action units,A3 Lower face,Jaw thrust,Raw,0.0-1.0 activation,30,Measured,Jaw thrust; rare,Very low base rate,Implemented
face.AU30,A Facial action units,A3 Lower face,Jaw sideways,Raw,0.0-1.0 activation,30,Measured,Jaw sideways; rare,Very low base rate,Implemented
face.AU30_L,A Facial action units,A3 Lower face,Jaw sideways — left side,Raw,0.0-1.0,30,Measured,"Left-hemiface activation, measured independently",Very low base rate,Implemented
face.AU30_R,A Facial action units,A3 Lower face,Jaw sideways — right side,Raw,0.0-1.0,30,Measured,"Right-hemiface activation, measured independently",Very low base rate,Implemented
face.AU30_asym,A Facial action units,A4 Asymmetry,Jaw sideways — asymmetry,Derived,0.0-1.0 (|L-R|),30,Weak inference,Left-right imbalance. Spontaneous expressions are more symmetric than posed ones as a population tendency,"Facial nerve variation, unilateral habit, camera angle. Never a per-person verdict",Implemented
face.AU33,A Facial action units,A3 Lower face,Cheek puff,Raw,0.0-1.0 activation,30,Measured,"Cheek puff: exhalation, exasperation, thinking",Also just breathing out,Implemented
face.AU36,A Facial action units,A3 Lower face,Tongue show,Raw,0.0-1.0 activation,30,Measured,Tongue show,Near-zero base rate in a professional interview,Implemented
face.AU38,A Facial action units,A3 Lower face,Mouth sideways,Raw,0.0-1.0 activation,30,Measured,"Mouth pulled sideways: scepticism, wry reaction",Speech articulation,Implemented
face.AU38_L,A Facial action units,A3 Lower face,Mouth sideways — left side,Raw,0.0-1.0,30,Measured,"Left-hemiface activation, measured independently",Speech articulation,Implemented
face.AU38_R,A Facial action units,A3 Lower face,Mouth sideways — right side,Raw,0.0-1.0,30,Measured,"Right-hemiface activation, measured independently",Speech articulation,Implemented
face.AU38_asym,A Facial action units,A4 Asymmetry,Mouth sideways — asymmetry,Derived,0.0-1.0 (|L-R|),30,Weak inference,Left-right imbalance. Spontaneous expressions are more symmetric than posed ones as a population tendency,"Facial nerve variation, unilateral habit, camera angle. Never a per-person verdict",Implemented
face.AU51,A Facial action units,A5 Rigid head (FACS 51-58),Head turn left,Derived,0.0-1.0 normalised angle,30,Measured,Head turned to subject's left,Second monitor or notes placed to one side,Implemented
face.AU52,A Facial action units,A5 Rigid head (FACS 51-58),Head turn right,Derived,0.0-1.0 normalised angle,30,Measured,Head turned to subject's right,Second monitor or notes placed to one side,Implemented
face.AU53,A Facial action units,A5 Rigid head (FACS 51-58),Head up,Derived,0.0-1.0 normalised angle,30,Measured,Head raised,"Camera mounted below eye line, common on laptops",Implemented
face.AU54,A Facial action units,A5 Rigid head (FACS 51-58),Head down,Derived,0.0-1.0 normalised angle,30,Measured,"Head lowered; nodding, or reading from notes",Laptop camera angle; reading the question on screen,Implemented
face.AU55,A Facial action units,A5 Rigid head (FACS 51-58),Head tilt left,Derived,0.0-1.0 normalised angle,30,Measured,Head tilted left; often a listening posture,"Leaning on a hand, chair back angle",Implemented
face.AU56,A Facial action units,A5 Rigid head (FACS 51-58),Head tilt right,Derived,0.0-1.0 normalised angle,30,Measured,Head tilted right; often a listening posture,"Leaning on a hand, chair back angle",Implemented
face.AU57,A Facial action units,A5 Rigid head (FACS 51-58),Head forward,Derived,0.0-1.0 normalised angle,30,Measured,Head/torso forward: engagement or hearing difficulty,Small laptop screen invites leaning in,Phase 1
face.AU58,A Facial action units,A5 Rigid head (FACS 51-58),Head back,Derived,0.0-1.0 normalised angle,30,Measured,Head/torso back: distance or relaxation,Chair recline,Phase 1
face.AU61,A Facial action units,A6 Gaze (FACS 61-64),Eyes turn left,Raw,0.0-1.0,30,Measured,"Eyes left, independent of head pose",Interviewer video tile position on screen,Implemented
face.AU62,A Facial action units,A6 Gaze (FACS 61-64),Eyes turn right,Raw,0.0-1.0,30,Measured,"Eyes right, independent of head pose",Interviewer video tile position on screen,Implemented
face.AU63,A Facial action units,A6 Gaze (FACS 61-64),Eyes up,Raw,0.0-1.0,30,Measured,Eyes up: recall or thinking,Notes or a second screen placed above,Implemented
face.AU64,A Facial action units,A6 Gaze (FACS 61-64),Eyes down,Raw,0.0-1.0,30,Measured,"Eyes down: notes, keyboard, or reflection",Reading from a document is indistinguishable from avoidance,Implemented
face.head_yaw,A Facial action units,A7 Head pose,Head yaw,Derived,"degrees, -90 to +90",30,Measured,Horizontal head rotation from the 4x4 face transform matrix,Camera not centred on the subject,Implemented
face.head_pitch,A Facial action units,A7 Head pose,Head pitch,Derived,"degrees, -90 to +90",30,Measured,Vertical head rotation,Laptop cameras sit below the eye line,Implemented
face.head_roll,A Facial action units,A7 Head pose,Head roll,Derived,"degrees, -90 to +90",30,Measured,Head tilt around the viewing axis,Chair and desk geometry,Implemented
face.head_motion_energy,A Facial action units,A7 Head pose,Head motion energy,Derived,"deg/frame, 5 s mean",30,Measured,"How much the head moves regardless of direction. High sustained values read as restlessness, near-zero as rigidity",Video stutter on a poor connection inflates this,Implemented
face.blink_count,A Facial action units,A8 Blink dynamics,Blink count,Derived,"integer, cumulative",30,Measured,Blinks committed by the hysteresis detector,Contact lenses and dry air change the rate several-fold,Implemented
face.blink_dur_mean_ms,A Facial action units,A8 Blink dynamics,Mean blink duration,Derived,milliseconds,30,Measured,Eye-closure duration. Long closures track drowsiness,30 fps sampling quantises this to ~33 ms steps,Implemented
face.interblink_mean_s,A Facial action units,A8 Blink dynamics,Mean inter-blink interval,Derived,seconds,30,Measured,Gap between blinks. Lengthens under focused attention,Screen exposure suppresses blinking generally,Implemented
face.interblink_cv,A Facial action units,A8 Blink dynamics,Inter-blink variability,Derived,coefficient of variation,30,Weak inference,Regularity of blinking. Irregularity rises with cognitive load,Needs several minutes of data to stabilise,Implemented
face.gaze_x,A Facial action units,A9 Gaze,Gaze horizontal,Derived,-1.0 to +1.0,30,Measured,"Eye deviation left/right, independent of head pose",Where the interviewer's video tile sits on screen,Implemented
face.gaze_y,A Facial action units,A9 Gaze,Gaze vertical,Derived,-1.0 to +1.0,30,Measured,Eye deviation up/down,Notes or a second monitor,Implemented
face.gaze_magnitude,A Facial action units,A9 Gaze,Gaze deviation,Derived,0.0-1.4,30,Measured,Distance of gaze from centre,As above,Implemented
face.gaze_on_camera_ratio,A Facial action units,A9 Gaze,Gaze-to-camera ratio,Derived,"0.0-1.0, 30 s window",1,Weak inference,Fraction of time gaze and head are both near-frontal,Screen layout dominates this. Direct-gaze norms vary sharply by culture and by seniority. NOT an honesty signal,Implemented
face.au_activation_sum,A Facial action units,A10 Expressivity,Total AU activation,Derived,sum of 26 AUs,30,Measured,Overall facial movement magnitude,Resting-face anatomy shifts the baseline between people,Implemented
face.au_active_count,A Facial action units,A10 Expressivity,Active AU count,Derived,0-26 integer,30,Measured,How many AUs exceed 0.15 simultaneously,Threshold is a chosen constant,Implemented
face.smile_duchenne,A Facial action units,A10 Expressivity,Duchenne smile index,Derived,0.0-1.0,30,Weak inference,"min(AU06, AU12) — the felt-smile marker. Well replicated as a distinction between smile types","Says something about the smile, not about the person",Implemented
face.smile_social,A Facial action units,A10 Expressivity,Social smile index,Derived,0.0-1.0,30,Weak inference,"max(0, AU12 - AU06) — polite smiling without eye involvement","Polite smiling is a professional norm, not a tell",Implemented
body.shoulder_tilt_deg,B Upper-body kinesics,B1 Posture and gesture,Shoulder line tilt,Derived,degrees,15,Measured,Angle of the line between the shoulder joints,"Chair design and desk height, more than posture",Implemented
body.lean_index,B Upper-body kinesics,B1 Posture and gesture,Lean index,Derived,ratio vs. session baseline,15,Measured,Shoulder width relative to the session start — a proximity proxy,Laptop vs. desktop working distance,Implemented
body.postural_sway,B Upper-body kinesics,B1 Posture and gesture,Postural sway,Derived,normalised displacement / 5 s,15,Measured,Shoulder-midpoint movement energy,Swivel and wheeled chairs,Implemented
body.gesture_energy,B Upper-body kinesics,B1 Posture and gesture,Gesture energy,Derived,normalised wrist velocity,15,Measured,How actively the hands move while speaking,Most webcam framing crops the hands out entirely,Implemented
body.gesture_amplitude,B Upper-body kinesics,B1 Posture and gesture,Gesture amplitude,Derived,normalised spread,15,Measured,How large the gesture space is,Strong cultural variation in baseline gesture size,Implemented
body.hands_visible_ratio,B Upper-body kinesics,B1 Posture and gesture,Hands-visible ratio,Derived,"0.0-1.0, 30 s",15,Measured,Fraction of frames with a wrist detected,"This measures camera framing, not behaviour",Implemented
body.self_touch_ratio,B Upper-body kinesics,B1 Posture and gesture,Self-touch (adaptors),Derived,"0.0-1.0, 30 s",15,Weak inference,"Hand-to-face or hand-to-neck contact frequency. Rises with general arousal, which includes ordinary interview nerves",Explicitly NOT a deception cue — that claim is unsupported,Implemented
body.nod_rate,B Upper-body kinesics,B1 Posture and gesture,Head nod rate,Derived,nods/min,15,Measured,Periodicity in the pitch channel,The Indian head bob is a distinct gesture a naive model will misclassify as a nod or a shake,Phase 1
body.shake_rate,B Upper-body kinesics,B1 Posture and gesture,Head shake rate,Derived,shakes/min,15,Measured,Periodicity in the yaw channel,As above,Phase 1
body.shoulder_width_norm,B Upper-body kinesics,B1 Posture and gesture,Shoulder width,Derived,normalised image units,15,Measured,Raw scale input for the lean index,Clothing bulk,Implemented
body.pose_visibility,B Upper-body kinesics,B1 Posture and gesture,Pose visibility,Derived,0.0-1.0,15,Measured,Landmark confidence for shoulders and nose,Quality gate — low values invalidate the whole group,Implemented
physio.bpm,C Physiological (rPPG),C1 Cardiac,Pulse rate,Derived,"beats/min, 42-180",1,Measured,Cardiac pulse recovered from facial skin colour change (POS algorithm),"~5.5 BPM field error on webcam video; degrades with darker skin tones, motion and talking",Implemented
physio.sqi,C Physiological (rPPG),C1 Cardiac,Signal quality index,Derived,0.0-1.0,1,Measured,Spectral peak concentration. Below 0.35 the estimate is discarded,Mandatory gate — never display a BPM without it,Implemented
physio.roi_spread_bpm,C Physiological (rPPG),C1 Cardiac,ROI disagreement,Derived,BPM,1,Measured,Spread between forehead and both cheek estimates. A cross-check: wide spread means the number is unreliable however good the SQI looks,Needs all three ROIs visible,Implemented
physio.bpm_delta_baseline,C Physiological (rPPG),C1 Cardiac,Pulse change vs. baseline,Derived,BPM difference,1,Weak inference,Deviation from the subject's own settled baseline. More robust than absolute BPM because it cancels per-person offset,Posture change and speaking both raise it independently of any psychological state,Phase 2
physio.resp_rate,C Physiological (rPPG),C1 Cardiac,Respiration rate,Derived,breaths/min,1,Weak inference,Extracted from the pulse-signal envelope,Needs a still subject; largely unusable while speaking,Phase 2
physio.hrv_sdnn,C Physiological (rPPG),C1 Cardiac,HRV — SDNN,Derived,milliseconds,1,Do not ship,Beat-to-beat variability,Requires beat-level peak timing that webcam video in a talking-head scenario cannot deliver. Use a chest strap or drop it,Excluded
physio.hrv_rmssd,C Physiological (rPPG),C1 Cardiac,HRV — RMSSD,Derived,milliseconds,1,Do not ship,Short-term parasympathetic variability index,As above,Excluded
physio.stress_index,C Physiological (rPPG),C1 Cardiac,Stress / deception index,Derived,—,1,Do not ship,No validated mapping exists from pulse to either construct in this setting,Do not build this,Excluded
audio.f0_mean,D Vocal prosody,D1 Pitch,Pitch mean (F0),Derived,Hz,10,Measured,Average fundamental frequency,Strong sex and individual differences — must be within-person normalised,Implemented
audio.f0_range,D Vocal prosody,D1 Pitch,Pitch range,Derived,Hz,10,Measured,Expressive pitch span. Narrow range reads as monotone,Microphone frequency response,Implemented
audio.f0_slope,D Vocal prosody,D1 Pitch,Pitch contour slope,Derived,Hz/s,10,Measured,Rising vs. falling intonation — statement vs. uncertainty framing,Language and dialect intonation patterns differ,Implemented
audio.f0_declination,D Vocal prosody,D1 Pitch,Pitch declination,Derived,Hz/utterance,10,Measured,Pitch drop across an utterance; tracks assertiveness of delivery,Requires clean utterance segmentation,Implemented
audio.jitter,D Vocal prosody,D2 Voice quality,Jitter,Derived,% cycle-to-cycle,10,Measured,Pitch period irregularity; rises with vocal tension,Codec compression destroys this — needs uncompressed or high-bitrate audio,Implemented
audio.shimmer,D Vocal prosody,D2 Voice quality,Shimmer,Derived,dB,10,Measured,Amplitude irregularity,As above,Implemented
audio.hnr,D Vocal prosody,D2 Voice quality,Harmonics-to-noise ratio,Derived,dB,10,Measured,Voice clarity vs. breathiness,Background noise directly corrupts it,Implemented
audio.speech_rate,D Vocal prosody,D3 Tempo,Speech rate,Derived,syllables/s incl. pauses,10,Measured,Overall pace of delivery,Language and register,Implemented
audio.articulation_rate,D Vocal prosody,D3 Tempo,Articulation rate,Derived,syllables/s excl. pauses,10,Measured,Pace while actually speaking — separates fast talking from few pauses,Needs reliable pause segmentation,Implemented
audio.pause_count,D Vocal prosody,D3 Tempo,Pause count,Derived,pauses/min,10,Measured,Silences above 250 ms,VAD threshold choice,Implemented
audio.pause_mean_dur,D Vocal prosody,D3 Tempo,Mean pause duration,Derived,seconds,10,Measured,Length of silences; long ones read as thinking or stalling,Network jitter creates artificial pauses,Implemented
audio.filled_pause_rate,D Vocal prosody,D4 Disfluency,Filled pauses,Derived,per 100 words,10,Measured,"um, uh, er — the most coachable delivery feature there is","Base rate varies by language and by nervousness, not by ability",Phase 1
audio.repair_rate,D Vocal prosody,D4 Disfluency,Self-repairs,Derived,per 100 words,10,Measured,Restarts and corrections mid-utterance,Non-native speaker penalty risk,Phase 1
audio.response_latency,D Vocal prosody,D5 Interaction,Response latency,Derived,seconds,10,Measured,Delay between question end and answer start,Network round-trip time is indistinguishable from thinking time,Implemented
audio.turn_length_mean,D Vocal prosody,D5 Interaction,Mean turn length,Derived,seconds,10,Measured,How long the subject holds the floor,Question type drives this,Implemented
audio.talk_time_ratio,D Vocal prosody,D5 Interaction,Talk-time ratio,Derived,0.0-1.0,10,Measured,Candidate speech time / total. The key interview-QA metric: an interviewer above 0.4 is not interviewing,Needs speaker diarisation,Implemented
audio.interruption_count,D Vocal prosody,D5 Interaction,Interruptions,Derived,count,10,Measured,"Overlapping speech onsets. Best used on the INTERVIEWER, as bias telemetry",Network latency causes accidental overlap,Implemented
audio.rms_energy,D Vocal prosody,D6 Energy,Loudness,Derived,dB RMS,10,Measured,Vocal energy level,Microphone gain and distance — normalise per session,Implemented
audio.energy_variability,D Vocal prosody,D6 Energy,Loudness variability,Derived,dB SD,10,Measured,Dynamic range of delivery; flat values read as monotone,Automatic gain control flattens this at source,Implemented
text.star_completeness,E Linguistic content,E1 Answer structure,STAR completeness,Derived,0-4 components present,0,Measured,Situation / Task / Action / Result structure in a behavioural answer,This is where the real predictive signal lives,Implemented
text.specificity_score,E Linguistic content,E1 Answer structure,Specificity,Derived,0.0-1.0,0,Measured,"Concrete detail density — names, numbers, dates, tools — vs. generalities",Confidentiality constraints legitimately reduce specificity,Implemented
text.quantification_rate,E Linguistic content,E1 Answer structure,Quantification,Derived,quantified claims / claims,0,Measured,Proportion of claims backed by a number,Role-dependent,Implemented
